Model,Threshold,Precision,Recall,F1,AUPRC,AUC-ROC,U_norm@F1,Brier,U_norm@Util
Random Forest,0.12192361281120073,0.1477358967872502,0.3182561307901907,0.2017968210089841,0.1081827226328934,0.8121899535174408,0.3203696015024768,0.022160913427014452,0.37638105959489143
XGBoost,0.736888587474823,0.15795162815835698,0.3185286103542234,0.21118236834974258,0.12479592560071102,0.8066846453581069,0.3149777219239106,0.11547591537237167,0.3559810852307051
Logistic Regression,0.7403857518774959,0.12099043331457512,0.29291553133514986,0.17124651533253685,0.09371612905341221,0.7802779296520015,0.22637256076661716,0.1795411028519597,0.2433061277945092
Naive Bayes,0.9918563408663976,0.06417653006602034,0.29400544959128067,0.1053556607918762,0.048864450206532115,0.6962022586467285,0.002298863386195716,0.15155035163080374,
KNN (k=10),0.2,0.08911246855910887,0.13514986376021798,0.10740580337808575,0.044008727379056055,0.5791845443352878,0.08153580793204435,0.025565820595640783,
RF (no ICULOS),0.05,0.057362434675683985,0.2542234332425068,0.09360421369450715,0.04564097136781545,0.6733687564216898,-0.006283559922320811,0.02262038809792908,
XGB (no ICULOS),0.6838356852531433,0.10298403886190145,0.20217983651226157,0.13645977011494254,0.07333388670433245,0.751805823249766,0.1053241676024639,0.13847996294498444,
qSOFA >= 2,2.0,0.03659828930436757,0.26348773841961853,0.06426957330852054,0.027849039090274134,0.5624719801370157,-0.24255934550664096,0.31340287138533535,
NEWS >= 5,5.0,0.036189310485516116,0.4833787465940054,0.06733725564623268,0.03574255238919132,0.6142625124877154,-0.46301059149058965,0.05722498982680129,
